ID;Pais;Provincia;Departamento;Ciudad
1;Argentina;Corrientes;Bella Vista;Bella Vista
2;Argentina;Corrientes;Berón de Astrada;San Antonio de Itatí
3;Argentina;Corrientes;Capital;Corrientes
4;Argentina;Corrientes;Concepción;Concepción
5;Argentina;Corrientes;Curuzú Cuatiá;Curuzú Cuatiá
6;Argentina;Corrientes;Empedrado;Empedrado
7;Argentina;Corrientes;Esquina;Esquina
8;Argentina;Corrientes;General Alvear;Alvear
9;Argentina;Corrientes;General Paz;Caá Catí
10;Argentina;Corrientes;Goya;Goya
11;Argentina;Corrientes;Itatí;Itatí
12;Argentina;Corrientes;Departamento Ituzaingó;Ituzaingó
13;Argentina;Corrientes;Lavalle;Santa Lucía
14;Argentina;Corrientes;Mburucuyá;Mburucuyá
15;Argentina;Corrientes;Departamento Mercedes;Mercedes
16;Argentina;Corrientes;Monte Caseros;Monte Caseros
17;Argentina;Corrientes;Paso de los Libres;Paso de los Libres
18;Argentina;Corrientes;Saladas;Saladas
19;Argentina;Corrientes;San Cosme;San Cosme
20;Argentina;Corrientes;San Luis del Palmar;San Luis del Palmar
21;Argentina;Corrientes;San Martín;La Cruz
22;Argentina;Corrientes;Departamento San Miguel;San Miguel
23;Argentina;Corrientes;San Roque;San Roque
24;Argentina;Corrientes;Santo Tomé;Santo Tomé
25;Argentina;Corrientes;Sauce;Sauce
